power,max_root,magic_sum,is_fully_magic,diagonal_1,diagonal_2,root_a,root_b,root_c,root_d,root_e,root_f,root_g,root_h,root_i,value_a,value_b,value_c,value_d,value_e,value_f,value_g,value_h,value_i
2,127,3249,False,2208,6849,4,23,52,32,44,17,47,28,16,16,529,2704,1024,1936,289,2209,784,256
2,127,3969,False,1932,6369,2,34,53,43,38,26,46,37,22,4,1156,2809,1849,1444,676,2116,1369,484
2,127,5041,False,2971,9873,3,26,66,46,51,18,54,42,19,9,676,4356,2116,2601,324,2916,1764,361
2,127,5691,False,3891,12243,11,23,71,43,59,19,61,41,17,121,529,5041,1849,3481,361,3721,1681,289
2,127,6241,False,4716,14593,6,27,74,38,66,21,69,34,18,36,729,5476,1444,4356,441,4761,1156,324
2,127,6561,False,4353,14496,1,28,76,44,64,23,68,41,16,1,784,5776,1936,4096,529,4624,1681,256
2,127,7329,False,4737,12684,2,43,74,59,58,22,62,46,37,4,1849,5476,3481,3364,484,3844,2116,1369
2,127,8281,False,3673,13356,9,46,78,62,54,39,66,57,26,81,2116,6084,3844,2916,1521,4356,3249,676
2,127,8649,False,3792,12969,8,53,76,64,52,43,67,56,32,64,2809,5776,4096,2704,1849,4489,3136,1024
2,127,8841,False,7203,20361,1,38,86,46,79,22,82,34,31,1,1444,7396,2116,6241,484,6724,1156,961
2,127,9025,False,6091,19809,5,30,90,54,75,22,78,50,21,25,900,8100,2916,5625,484,6084,2500,441
2,127,9801,False,7116,19113,14,47,86,58,74,31,79,46,38,196,2209,7396,3364,5476,961,6241,2116,1444
2,127,9801,False,7017,22956,2,31,94,49,82,26,86,46,17,4,961,8836,2401,6724,676,7396,2116,289
2,127,10011,False,7347,20451,7,41,91,61,77,19,79,49,37,49,1681,8281,3721,5929,361,6241,2401,1369
2,127,10794,False,6699,17562,29,47,88,68,67,41,73,64,37,841,2209,7744,4624,4489,1681,5329,4096,1369
2,127,11025,False,6177,22176,1,32,100,68,76,25,80,65,20,1,1024,10000,4624,5776,625,6400,4225,400
2,127,11025,False,8928,27489,8,31,100,44,92,25,95,40,20,64,961,10000,1936,8464,625,9025,1600,400
2,127,11306,False,6618,23411,11,24,103,68,79,21,81,67,16,121,576,10609,4624,6241,441,6561,4489,256
2,127,11449,False,6508,18009,6,62,87,73,66,42,78,57,46,36,3844,7569,5329,4356,1764,6084,3249,2116
2,127,11881,False,5977,21456,8,51,96,69,72,44,84,64,27,64,2601,9216,4761,5184,1936,7056,4096,729
2,127,12219,False,7779,22227,1,53,97,73,77,31,83,59,43,1,2809,9409,5329,5929,961,6889,3481,1849
2,127,12321,False,8076,26433,2,46,101,59,86,38,94,53,26,4,2116,10201,3481,7396,1444,8836,2809,676
2,127,12769,False,7648,26289,4,33,108,72,84,23,87,68,24,16,1089,11664,5184,7056,529,7569,4624,576
2,127,12996,False,8832,27396,8,46,104,64,88,34,94,56,32,64,2116,10816,4096,7744,1156,8836,3136,1024
2,127,13689,False,8907,25449,13,52,104,76,83,32,88,64,43,169,2704,10816,5776,6889,1024,7744,4096,1849
